play_type,window_size,feature_variance,regression_results,Model,is_optimal,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",BernoulliNB,No,0.55,0.55,0.55,0.52,0.016177892684936523
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",ExtraTreesClassifier,No,0.55,0.55,0.55,0.52,0.0998849868774414
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",AdaBoostClassifier,No,0.5,0.5,0.49999999999999994,0.4791666666666667,0.10387206077575684
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",DecisionTreeClassifier,No,0.5,0.5,0.5,0.5,0.013139963150024414
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",DummyClassifier,No,0.5,0.5,0.5,0.3333333333333333,0.01715826988220215
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",GaussianNB,No,0.5,0.5,0.49999999999999994,0.4791666666666667,0.014451026916503906
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",KNeighborsClassifier,No,0.5,0.5,0.49999999999999994,0.4791666666666667,0.018803834915161133
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",QuadraticDiscriminantAnalysis,No,0.5,0.5,0.49999999999999994,0.4791666666666667,0.012977123260498047
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",XGBClassifier,No,0.5,0.5,0.49999999999999994,0.4791666666666667,0.0592808723449707
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",NuSVC,No,0.5,0.5,0.5,0.45054945054945056,0.014238834381103516
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",CalibratedClassifierCV,No,0.45,0.45,0.45000000000000007,0.3732193732193732,0.03573298454284668
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",ExtraTreeClassifier,No,0.45,0.45,0.44999999999999996,0.44862155388471175,0.013174057006835938
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",Perceptron,No,0.45,0.45,0.44999999999999996,0.44862155388471175,0.012697219848632812
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",NearestCentroid,No,0.45,0.44999999999999996,0.45,0.4373401534526854,0.014713764190673828
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",PassiveAggressiveClassifier,No,0.45,0.44999999999999996,0.45,0.4373401534526854,0.015481233596801758
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",LabelPropagation,No,0.45,0.44999999999999996,0.45,0.4373401534526854,0.013852119445800781
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",LabelSpreading,No,0.45,0.44999999999999996,0.45,0.4373401534526854,0.013547897338867188
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",SGDClassifier,No,0.4,0.4,0.4,0.375,0.01291799545288086
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",RandomForestClassifier,No,0.4,0.4,0.4,0.375,0.14270401000976562
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",RidgeClassifierCV,No,0.4,0.39999999999999997,0.4,0.3406593406593406,0.015073060989379883
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",RidgeClassifier,No,0.4,0.39999999999999997,0.4,0.3406593406593406,0.019079208374023438
fts,5,0.07914620693337135,"{'logistic_regression': {'mean_roc_auc': 0.4598383838383838, 'std_roc_auc': 0.1321001187869727}, 'feature_importance_logistic':      feature  importance
5  feature_5        0.70
9  feature_9        0.63
8  feature_8        0.43
2  feature_2        0.37
1  feature_1        0.36
3  feature_3        0.34
7  feature_7        0.27
0  feature_0        0.24
6  feature_6        0.06
4  feature_4        0.02}",LinearSVC,No,0.4,0.39999999999999997,0.4,0.3406593406593406,0.013339996337890625
